pais,populacao
 Togo ," 9,930,918 "
 Tonga ," 103,291 "
 Trinidad and Tobago ," 1,513,268 "
 Tunisia ," 12,415,138 "
 Turkey ," 87,926,082 "
 Turkmenistan ," 7,736,632 "
 Tuvalu ," 9,362 "
 Uganda ," 52,761,469 "
 Ukraine ," 39,535,849 "
 United Arab Emirates ," 11,574,682 "
 United Kingdom ," 69,931,528 "
 United States of America ," 349,035,494 "
 Uruguay ," 3,382,537 "
 Uzbekistan ," 37,724,223 "
 Vanuatu ," 342,564 "
 Venezuela ," 28,633,711 "
 Vietnam ," 102,177,431 "
 Yemen ," 42,961,653 "
 Zambia ," 22,521,915 "
 Zimbabwe ," 17,273,580 "
